hospitalData
name,address,phone,web_address,staffed_beds,hospital_type,part_of_system
Shriners Hospitals for Children - Portland,"3101 SW Sam Jackson Park Road, Portland, OR 97239-3009, United States of America",(503) 241-5090,https://www.childrenshospitals.org/hospital-directory,12,Specialty,Yes
Shriners Hospitals for Children - Shreveport,"3100 Samford Avenue, Shreveport, LA 71103, United States of America",(318) 222-5704,https://www.childrenshospitals.org/hospital-directory,45,Specialty,Yes
Shriners Hospitals for Children - Spokane,"911 West Fifth Avenue, Spokane, WA 99210-2472, United States of America",(509) 455-7844,https://www.childrenshospitals.org/hospital-directory,30,Specialty,Yes
Shriners Hospitals for Children - Springfield,"516 Carew Street, Springfield, MA 01104, United States of America",(413) 787-2000,https://www.shrinershq.org/,20,Specialty,Yes
Shriners Hospitals for Children  St Louis,"4400 Clayton Ave., St. Louis, MO 63110, United States of America",(314) 432-3600,https://www.childrenshospitals.org/hospital-directory,12,Specialty,Yes
Shriners Hospitals for Children - Texas,"815 Market Street, Galveston, TX 77550-2725, United States of America",(409) 770-6600,http://www.shrinershospitalsforchildren.org/,30,Specialty,Yes
Sidra Medicine,"PO Box 26999, Doha,  269999, Qatar,",+974-4404-2000,http://www.sidra.org/,156,Acute,No
SSM Health Cardinal Glennon Childrens Hospital,"1465 South Grand Boulevard, St. Louis, MO 63104, United States of America",(314) 577-5600,https://www.cardinalglennon.com/,176,Acute,Yes
St Christophers Hospital for Children,"160 East Erie Avenue, Philadelphia, PA 19134, United States of America",(215) 427-5000 or 1-88-ChrisKids,https://www.stchristophershospital.com/,107,Acute,Yes
St Josephs Childrens Hospital,"703 Main Street, Paterson, NJ 07503, United States of America",(973) 754-2544,https://www.sjhmc.org/,128,Acute,Yes
St Josephs Childrens Hospital of Tampa,"3001 West Martin Luther King Boulevard, Tampa, FL 33607, United States of America",(813) 554-8500,https://www.stjosephschildrens.com/,136,Acute,Yes
St Jude Childrens Research Hospital,"262 Danny Thomas Place, Memphis, TN 38105-3678, United States of America",(901) 595-3300,https://www.stjude.org/,73,Acute,No
St Louis Childrens Hospital,"One Children's Place, St. Louis, MO 63110-1081, United States of America",(314) 454-6000,https://www.stlouischildrens.org/,349,Acute,Yes
St Lukes Childrens Hospital St Lukes Regional Medical Center,"190 East Bannock Street, Boise, ID 83712, United States of America",(208) 381-2222,https://www.stlukesonline.org/,113,Acute,Yes
St Lukes University Hospital  Bethlehem,"801 Ostrum Street, Bethlehem, PA 18015, United States of America",(484) 526-4000,https://www.slhn.org/bethlehem,unknown,Acute,Yes
Stony Brook Childrens Hospital,"100 Nicolls Road, Stony Brook, NY 11794, United States of America",(631) 444-2701,https://www.stonybrookchildrens.org/,106,Acute,Yes
Sutter Childrens Center Sacramento,"2825 Capitol Avenue, Sacramento, CA 95816, United States of America",(916) 887-0000,https://www.sutterhealth.org/smcs/services/pediatric/pediatric-specialty,121,Acute,Yes
Texas Childrens Hospital,"6651 Main Street, Houston, TX 77030, United States of America",(832) 824-1000,http://www.texaschildrens.org/,784,Acute,No
Texas Scottish Rite Hospital for Children,"2222 Welborn Street, Dallas, TX 75219, United States of America",(214) 559-7611,https://www.tsrhc.org/,52,Specialty,No
The Barbara Bush Childrens Hospital at Maine Medical Center,"22 Bramhall Street, Portland, ME 04102, United States of America",(207) 662-2353,https://www.mmc.org/bbch,116,Acute,Yes
The BristolMyers Squibb Childrens Hospital at Robert Wood Johnson University Hospi...,"One Robert Wood Johnson Place, New Brunswick, NJ 08903-2601, United States of America",(732) 828-3000,https://www.bmsch.org/,105,Acute,Yes
The Childrens Hospital at Montefiore,"3415 Bainbridge Avenue, Bronx, NY 10467, United States of America",(718) 741-2426,https://www.cham.org/,193,Acute,Yes
The Childrens Hospital at Providence Providence Alaska Medical Center,"3200 Providence Drive, Anchorage, AK 99519, United States of America",(907) 562-2211,http://alaska.providence.org/services/c/childrens,114,Acute,Yes
The Childrens Hospital at Saint Francis,"6161 South Yale Avenue, Tulsa, OK 74136, United States of America",(918) 502-6715,https://www.saintfrancis.com/,144,Acute,Yes
The Childrens Hospital at Saint Peters University Hospital,"254 Easton Avenue, New Brunswick, NJ 08903, United States of America",(732) 565-5437,https://www.saintpetershcs.com/spchildrenshospital/,unknown,Acute,Yes
The Childrens Regional Hospital at Cooper,"One Cooper Plaza, Camden, NJ 08103, United States of America",(856) 342-2000,https://www.cooperchildrens.org/,61,Acute,Yes
The Hospital for Sick Children,"555 University Avenue, Toronto, ON M5G 1X8, Canada",(416) 813-1500,https://www.sickkids.ca/,288,Acute,No
The HSC Pediatric Center,"1731 Bunker Hill Road, NE, Washington, DC 20017, United States of America",(202) 832-4400,https://www.hscpediatriccenter.org/,103,Specialty,Yes
The Mount Sinai Kravis Childrens Hospital,"One Gustave L. Levy Place, New York, NY 10029, United States of America",(212) 241-6500,http://www.mountsinai.org/patient-care/service-areas/children,112,Acute,Yes
The Royal Childrens Hospital,"50 Flemington Road, Parkville, VIC 3052, Australia,",+61-3-9345 5522,https://www.rch.org.au/,405,Acute,No
The Salah Foundation Childrens Hospital at Broward Health,"1600 South Andrews Avenue, Fort Lauderdale, FL 33316, United States of America",(954) 355-5607,https://www.browardhealth.org/,107,Acute,Yes
The Studer Family Childrens Hospital at Ascension Sacred Heart,"1 Bubba Watson Drive, Pensacola, FL 32504, United States of America",(850) 416-7000,https://www.studerfamilychildrenshospital.com/,112,Acute,Yes
The University of Vermont Childrens Hospital,"111 Colchester Avenue, Burlington, VT 05401, United States of America",(802) 656-3243,https://www.uvmhealth.org/childrens-hospital,58,Acute,Yes
The Unterberg Childrens Hospital at Monmouth Medical Center,"300 Second Avenue, Long Branch, NJ 07740, United States of America",(732) 923-7250,https://www.rwjbh.org/unterberg-childrens-hospital-at-monmouth-medical,70,Acute,Yes
Tufts Childrens Hospital,"800 Washington Street, Boston, MA 02111, United States of America",(617) 636-6432,https://www.floatinghospital.org/,62,Acute,Yes
UCLA Mattel Childrens Hospital,"757 Westwood Plaza, Los Angeles, CA 90095, United States of America",(310) 794-9238,https://www.uclahealth.org/mattel/,131,Acute,Yes
UCSF Benioff Childrens Hospital Oakland,"747 - 52nd Street, Oakland, CA 94609-1809, United States of America",(510) 428-3000,https://www.childrenshospitaloakland.org/,189,Acute,Yes
UCSF Benioff Childrens Hospital San Francisco,"1975 4th Street, San Francisco, CA 94158, United States of America",(415) 353-3000,https://www.ucsfbenioffchildrens.org/,189,Acute,Yes
UF Health Shands Childrens Hospital,"1600 SW Archer Road, Gainesville, FL 32610, United States of America",(352) 594-1328,http://ufhealth.org/,188,Acute,Yes
UH Rainbow Babies  Childrens Hospital,"11100 Euclid Avenue, Cleveland, OH 44106, United States of America",(216) 844-1000,https://www.uhhospitals.org/rainbow,unknown,Acute,Yes
UMass Memorial Childrens Medical Center,"55 Lake Avenue North, Worcester, MA 01655, United States of America",(508) 334-1000,https://www.umassmemorial.org/children,101,Acute,Yes
University Health System Childrens Health,"4502 Medical Drive, San Antonio, TX 78229, United States of America",(210) 358-4000,http://universitychildrenshealth.com/,100,Acute,Yes
University of California Davis Childrens Hospital,"2315 Stockton Boulevard, Sacramento, CA 95817, United States of America",(916) 734-2000,https://www.ucdmc.ucdavis.edu/children,121,Acute,Yes
University of Iowa Stead Family Childrens Hospital,"200 Hawkins Drive 1337DJCP, Iowa City, IA 52242, United States of America",(888) 573-5437,http://www.uichildrens.org/Default.aspx,204,Acute,Yes
University of Maryland Childrens Hospital,"22 South Greene Street, Baltimore, MD 21201, United States of America",(410) 328-2900,http://www.umm.edu/childrens,119,Acute,Yes
University of Minnesota Masonic Childrens Hospital,"2450 Riverside Avenue, Minneapolis, MN 55454, United States of America",(612) 273-2000,https://www.mhealth.org/childrens,212,Acute,Yes
University of New Mexico Childrens Hospital,"2211 Lomas Boulevard, NE, Albuquerque, NM 87106, United States of America",(505) 272-5551,https://hospitals.unm.edu/,138,Acute,Yes
UPMC Childrens Hospital of Pittsburgh,"One Children's Hospital Drive, Pittsburgh, PA 15224-1334, United States of America",(412) 692-5325,https://www.chp.edu/,303,Acute,Yes
Upstate Golisano Childrens Hospital,"One Children's Circle, Syracuse, NY 13210, United States of America",(315) 464-4245,https://www.upstate.edu/gch,71,Acute,Yes
USA Health Childrens  Womens Hospital,"1700 Center Street, Mobile, AL 36604, United States of America",(251) 415-1000,https://www.usahealthsystem.com/locations/childrens-womens-hospital,138,Acute,Yes
UVA Childrens,"PO Box 800008, Charlottesville, VA 22908, United States of America",(434) 982-0027,https://childrens.uvahealth.com/,55,Acute,Yes
Valley Childrens Healthcare,"9300 Valley Children's Place, Madera, CA 93636-8762, United States of America",(559) 353-3000,http://www.valleychildrens.org/,209,Acute,No
Voorhees Pediatric Facility,"1304 Laurel Oak Road, Voorhees, NJ 08043-4392, United States of America",(856) 346-3300,https://www.forkidcare.com/,unknown,Specialty,Yes
Wake Forest Baptist Health  Brenner Childrens Hospital,"Medical Center Boulevard, Winston-Salem, NC 27157, United States of America",(336) 716-2011,https://www.brennerchildrens.org/,179,Acute,Yes
WillisKnighton South and the Center for Womens and Childrens Health,"2510 W. Bert Kouns Industrial Loop, Shreveport, LA 71118, United States of America",(318) 212-5000,https://www.wkhs.com/locations/hospitals/willis-knighton-south,unknown,Acute,Yes
Wolfson Childrens Hospital,"800 Prudential Drive, Jacksonville, FL 32207, United States of America",(904) 202-8000,https://www.wolfsonchildrens.com/,199,Acute,Yes
WVU Medicine Childrens,"Medical Center Drive, Department 8200, Morgantown, WV 26506-8111, United States of America",(304) 598-4305,https://www.wvukids.com/,98,Acute,Yes
Yale New Haven Childrens Hospital,"20 York Street, New Haven, CT 06510, United States of America",(203) 688-4242,http://www.ynhh.org/yale-new-haven-childrens-hospital/,208,Acute,Yes
